Nuclear,NG,RFO,Hydro,Coal,Wood,Wind,Other
5708.1,11162.6126167753,0,2587.09,655.1,0,372.79261513,227.8
5708.1,10386.758887971,0,2587.09,655.1,0,317.004535715,227.8
5708.1,10085.2324498486,0,2587.09,655.1,0,392.09793494,227.8
5708.1,9995.9687044189,0,2587.09,655.1,0,392.293474215,227.8
5708.1,10047.6112903275,0,2587.09,655.1,0,341.65041936,227.8
5708.1,10556.4958237655,0,2587.09,655.1,0,351.95394319,227.8
5708.1,11134.6702145107,0,2587.09,655.1,0,370.20973857,227.8
5708.1,12432.949215424,0,2587.09,655.1,0,340.469863555,227.8
5708.1,13083.2768562247,0,2587.09,655.1,0,361.156821145,227.8
5708.1,13534.5197522389,0,2587.09,655.1,0,360.22141705,227.8
5708.1,14647.472309603,0,2587.09,655.1,0,337.075852935,227.8
5708.1,14666.2463591549,20,2587.09,655.1,0,357.010688475,227.8
5708.1,15336.9426900476,20,2587.09,655.1,0,339.556649295,227.8
5708.1,16167.5807240655,20,2587.09,655.1,0,352.19581275,227.8
5708.1,16220.5881588933,20,2587.09,655.1,0,346.864420605,227.8
5708.1,15929.8801765385,20,2587.09,655.1,0,327.61676963,227.8
5708.1,16052.4265001408,20,2587.09,655.1,0,341.864323545,227.8
5708.1,16227.6098747395,20,2587.09,655.1,0,412.77928393,227.8
5708.1,16049.9372708627,20,2587.09,655.1,0,349.478803325,227.8
5708.1,15435.5104348808,20,2587.09,655.1,0,395.686936205,227.8
5708.1,14996.9217523571,20,2587.09,655.1,0,438.51372964,227.8
5708.1,14469.4093704722,20,2587.09,655.1,0,366.27845685,227.8
5708.1,12956.4439455046,0,2587.09,655.1,0,364.94221173,227.8
5708.1,11732.9885208786,0,2587.09,655.1,0,303.37393376,227.8
